ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV398,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV398,0.006,TRUE,TR5_VAN+CCUG59168,51 ± 10.6,0 ± 16.7,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV157,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,unknown Intestinimonas (Genus) ASV157,0.007,TRUE,TR5_VAN+CCUG59168,22 ± 7,0 ± 8.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV175,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,valericigenes,Oscillibacter valericigenes ASV175,0.007,TRUE,TR5_VAN+CCUG59168,18 ± 7.5,0 ± 7.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV359,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV359,0.007,TRUE,TR5_VAN+CCUG59168,18 ± 3.2,0 ± 6.6,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV394,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV394,0.007,TRUE,TR5_VAN+CCUG59168,22 ± 9.9,0 ± 5.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV316,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA,unknown Blautia (Genus) ASV316,0.008,TRUE,TR5_VAN+CCUG59168,68 ± 10.9,15 ± 38.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV387,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV387,0.008,TRUE,TR5_VAN+CCUG59168,32 ± 4.2,0 ± 9.4,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0
ASV215,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV215,0.009,TRUE,TR5_VAN+CCUG59168,31 ± 22,0 ± 12.5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV385,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV385,0.009,TRUE,TR5_VAN+CCUG59168,12 ± 2.4,0 ± 5.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV170,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,unknown Intestinimonas (Genus) ASV170,0.01,TRUE,TR5_VAN+CCUG59168,54 ± 6.1,1 ± 20,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV172,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA,unknown Colidextribacter (Genus) ASV172,0.01,TRUE,TR5_VAN+CCUG59168,15 ± 5.5,2 ± 6.4,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV207,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV207,0.01,TRUE,TR5_VAN+CCUG59168,84 ± 17.9,5 ± 25.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV099,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,NA,NA,unknown Christensenellaceae (Family) ASV099,0.011,TRUE,TR5_VAN+CCUG59168,18 ± 8.9,6 ± 10.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV171,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA,unknown Colidextribacter (Genus) ASV171,0.011,TRUE,TR5_VAN+CCUG59168,51 ± 15.1,5 ± 17.8,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0
ASV188,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA,unknown Monoglobus (Genus) ASV188,0.011,TRUE,TR5_VAN+CCUG59168,10 ± 4.2,0 ± 4.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV384,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV384,0.011,TRUE,TR5_VAN+CCUG59168,18 ± 4.1,0 ± 4,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV176,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,NA,unknown Oscillibacter (Genus) ASV176,0.012,TRUE,TR5_VAN+CCUG59168,34 ± 6.4,1 ± 11.2,0 ± 0.6,0 ± 0,0 ± 0,0 ± 0.5
ASV245,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,NA,unknown Negativibacillus (Genus) ASV245,0.012,TRUE,TR5_VAN+CCUG59168,130 ± 25,0 ± 35.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0.6
ASV290,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV290,0.012,TRUE,TR5_VAN+CCUG59168,28 ± 2.8,0 ± 13.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV389,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV389,0.012,TRUE,TR5_VAN+CCUG59168,18 ± 14.5,0 ± 9.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV209,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV209,0.013,TRUE,TR5_VAN+CCUG59168,0 ± 0,0 ± 33.3,70 ± 12.5,128 ± 78.5,51 ± 94.4,66 ± 26.2
ASV235,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV235,0.013,TRUE,TR5_VAN+CCUG59168,13 ± 4.4,0 ± 4.6,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV346,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV346,0.014,TRUE,TR5_VAN+CCUG59168,262 ± 34.1,0 ± 43.9,0 ± 0,0 ± 0,0 ± 0.6,0 ± 1
ASV383,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV383,0.014,TRUE,TR5_VAN+CCUG59168,11 ± 5.9,0 ± 6.4,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV143,0.016,TRUE,TR5_VAN+CCUG59168,4 ± 2.6,0 ± 1.8,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0
ASV326,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV326,0.016,TRUE,TR5_VAN+CCUG59168,44 ± 15.9,0 ± 10.1,0 ± 0,0 ± 0,0 ± 0.6,0 ± 2
ASV276,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,NA,unknown GCA-900066575 (Genus) ASV276,0.017,TRUE,TR5_VAN+CCUG59168,18 ± 10.2,0 ± 10.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV337,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV337,0.018,TRUE,TR5_VAN+CCUG59168,4 ± 3.6,2 ± 3.5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV200,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV200,0.019,TRUE,TR5_VAN+CCUG59168,140 ± 48.2,0 ± 40.6,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0.5
ASV368,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV368,0.019,TRUE,TR5_VAN+CCUG59168,111 ± 48.3,0 ± 26.2,0 ± 0,0 ± 0,2 ± 2.5,0 ± 1.9
ASV190,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA,unknown NK4A214 group (Genus) ASV190,0.021,TRUE,TR5_VAN+CCUG59168,11 ± 4.1,4 ± 9.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV351,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV351,0.021,TRUE,TR5_VAN+CCUG59168,30 ± 15.8,0 ± 16.8,0 ± 0,0 ± 0,0 ± 0,0 ± 1
ASV356,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV356,0.021,TRUE,TR5_VAN+CCUG59168,114 ± 57,0 ± 91.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV321,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA,unknown Blautia (Genus) ASV321,0.022,TRUE,TR5_VAN+CCUG59168,6 ± 1.4,1 ± 3.7,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV357,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV357,0.023,TRUE,TR5_VAN+CCUG59168,22 ± 16.5,0 ± 42.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV361,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV361,0.023,TRUE,TR5_VAN+CCUG59168,40 ± 6.1,0 ± 18.7,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV155,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA,unknown Oscillospiraceae (Family) ASV155,0.024,TRUE,TR5_VAN+CCUG59168,4 ± 1.7,0 ± 2.4,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV142,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,NA,unknown Tyzzerella (Genus) ASV142,0.026,TRUE,TR5_VAN+CCUG59168,104 ± 27.9,0 ± 62.5,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0
ASV163,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,plautii,Flavonifractor plautii ASV163,0.026,TRUE,TR5_VAN+CCUG59168,20 ± 15.7,0 ± 7.2,0 ± 0,0 ± 0,0 ± 0,0 ± 4
ASV140,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA,unknown Defluviitaleaceae UCG-011 (Genus) ASV140,0.027,TRUE,TR5_VAN+CCUG59168,6 ± 2.4,0 ± 6.2,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV062,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA,NA,unknown Erysipelatoclostridiaceae (Family) ASV062,0.028,TRUE,TR5_VAN+CCUG59168,78 ± 18.1,3 ± 48.8,0 ± 0,0 ± 0,0 ± 0.6,0 ± 0
ASV145,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV145,0.028,TRUE,TR5_VAN+CCUG59168,21 ± 9.1,0 ± 12.6,0 ± 0.6,0 ± 0,0 ± 0,0 ± 0
ASV138,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tuzzerella,NA,unknown Tuzzerella (Genus) ASV138,0.035,TRUE,TR5_VAN+CCUG59168,107 ± 14,540 ± 245.7,507 ± 56.1,338 ± 2.8,202 ± 172,137 ± 78.2
ASV373,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV373,0.036,TRUE,TR5_VAN+CCUG59168,14 ± 11.4,3 ± 10.8,0 ± 0.6,0 ± 0,0 ± 0,0 ± 0
ASV230,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV230,0.037,TRUE,TR5_VAN+CCUG59168,520 ± 44,16 ± 148.4,1 ± 0.6,1 ± 1.4,0 ± 1.2,1 ± 4.2
ASV124,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA,unknown Clostridia vadinBB60 group (Order) ASV124,0.04,TRUE,TR5_VAN+CCUG59168,0 ± 0,0 ± 52,292 ± 197.4,201 ± 263,2 ± 96.4,0 ± 39.5
ASV141,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA,unknown Defluviitaleaceae UCG-011 (Genus) ASV141,0.04,TRUE,TR5_VAN+CCUG59168,6 ± 5,0 ± 6.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV289,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV289,0.044,TRUE,TR5_VAN+CCUG59168,100 ± 9.8,1 ± 46.1,0 ± 0,0 ± 0.7,0 ± 1.7,0 ± 2
ASV258,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV258,0.071,FALSE,TR5_VAN+CCUG59168,88 ± 21.6,8 ± 42.4,3 ± 10.1,5 ± 0,13 ± 28.1,27 ± 8.8
ASV020,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,unknown Escherichia-Shigella (Genus) ASV020,0.075,FALSE,TR5_VAN+CCUG59168,195 ± 31,266 ± 119.4,472 ± 255.4,1067 ± 18.4,401 ± 459,262 ± 99.2
ASV057,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,NA,unknown [Eubacterium] nodatum group (Genus) ASV057,0.132,FALSE,TR5_VAN+CCUG59168,2 ± 2.1,12 ± 16.1,30 ± 18.9,21 ± 18.4,5 ± 3.1,4 ± 4.1
ASV022,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,NA,unknown Proteus (Genus) ASV022,0.147,FALSE,TR5_VAN+CCUG59168,933 ± 149,1312 ± 396.7,1562 ± 335.4,1288 ± 111,1293 ± 599.8,1540 ± 218.8
ASV336,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV336,0.175,FALSE,TR5_VAN+CCUG59168,7 ± 9.4,0 ± 2.7,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV135,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA,unknown Clostridia vadinBB60 group (Order) ASV135,0.288,FALSE,TR5_VAN+CCUG59168,6 ± 5.1,22 ± 557.7,150 ± 336.7,202 ± 181.7,64 ± 106.8,48 ± 129.2
