ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV190,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA,unknown NK4A214 group (Genus) ASV190,0.012,TRUE,IR1_UNTREATED,14 ± 3.6,3 ± 3.9,11 ± 3.1,16 ± 6.1,15 ± 6.4,16 ± 5.6
ASV176,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,NA,unknown Oscillibacter (Genus) ASV176,0.014,TRUE,IR1_UNTREATED,40 ± 18.5,5 ± 3.2,12 ± 4.6,5 ± 1.7,4 ± 1.7,6 ± 9
ASV385,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV385,0.015,TRUE,IR1_UNTREATED,8 ± 2.5,2 ± 3.3,4 ± 1.5,6 ± 2.2,13 ± 7.1,7 ± 3.9
ASV020,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,unknown Escherichia-Shigella (Genus) ASV020,0.016,TRUE,IR1_UNTREATED,708 ± 135.6,568 ± 200,362 ± 86.6,527 ± 62,420 ± 91,710 ± 161.7
ASV347,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV347,0.018,TRUE,IR1_UNTREATED,6 ± 7.1,2 ± 5.3,0 ± 3.1,0 ± 0,0 ± 0,0 ± 1.3
ASV394,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV394,0.018,TRUE,IR1_UNTREATED,46 ± 15.3,24 ± 23.9,31 ± 15.1,44 ± 12.1,20 ± 8.8,11 ± 2.6
ASV161,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV161,0.028,TRUE,IR1_UNTREATED,19 ± 40.5,0 ± 2.4,1 ± 4,2 ± 1.3,2 ± 1.2,2 ± 2.2
ASV356,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV356,0.028,TRUE,IR1_UNTREATED,40 ± 38.2,92 ± 108.2,167 ± 135.6,248 ± 86.3,92 ± 55.9,63 ± 41.4
ASV383,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV383,0.032,TRUE,IR1_UNTREATED,17 ± 8.6,1 ± 9.7,10 ± 4.2,34 ± 10.9,20 ± 4.5,14 ± 5.4
ASV148,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,NA,NA,unknown Oscillospirales (Order) ASV148,0.037,TRUE,IR1_UNTREATED,2 ± 0,1 ± 0.8,1 ± 1.1,6 ± 1.7,4 ± 2.4,2 ± 3.5
ASV215,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV215,0.037,TRUE,IR1_UNTREATED,38 ± 14.5,12 ± 8.3,14 ± 6,25 ± 8.2,20 ± 4.3,14 ± 2.2
ASV350,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV350,0.037,TRUE,IR1_UNTREATED,12 ± 8,0 ± 3.1,1 ± 2.2,2 ± 1,4 ± 1,4 ± 1.9
ASV361,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV361,0.038,TRUE,IR1_UNTREATED,11 ± 8.5,6 ± 4.9,8 ± 2.3,8 ± 4.9,23 ± 3.6,19 ± 10.8
ASV149,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,NA,unknown Butyricicoccus (Genus) ASV149,0.039,TRUE,IR1_UNTREATED,8 ± 2.9,6 ± 5.9,6 ± 6.5,2 ± 1.7,7 ± 5.5,1 ± 0.5
ASV230,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV230,0.04,TRUE,IR1_UNTREATED,615 ± 57.8,331 ± 288,814 ± 58.1,732 ± 107.2,710 ± 155.5,737 ± 106.5
ASV141,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA,unknown Defluviitaleaceae UCG-011 (Genus) ASV141,0.042,TRUE,IR1_UNTREATED,20 ± 10.7,6 ± 9.2,0 ± 4.8,12 ± 7.5,19 ± 4.4,12 ± 4.6
ASV140,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA,unknown Defluviitaleaceae UCG-011 (Genus) ASV140,0.05,TRUE,IR1_UNTREATED,10 ± 5.3,2 ± 6.9,0 ± 9.7,12 ± 9.8,20 ± 5.5,17 ± 9.1
ASV170,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,unknown Intestinimonas (Genus) ASV170,0.052,FALSE,IR1_UNTREATED,60 ± 35.7,2 ± 14.5,34 ± 4.5,20 ± 5.8,20 ± 21.1,55 ± 44.9
ASV030,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CHKCI002,NA,unknown CHKCI002 (Genus) ASV030,0.055,FALSE,IR1_UNTREATED,27 ± 30.1,12 ± 6.7,20 ± 3.3,28 ± 6.5,40 ± 8.7,25 ± 10.3
ASV200,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV200,0.063,FALSE,IR1_UNTREATED,8 ± 9.2,24 ± 18.1,4 ± 1.9,0 ± 1.4,0 ± 1.4,0 ± 0
ASV258,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV258,0.068,FALSE,IR1_UNTREATED,62 ± 17.7,18 ± 56.9,75 ± 17,58 ± 25,32 ± 9.9,36 ± 10.9
ASV022,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,NA,unknown Proteus (Genus) ASV022,0.069,FALSE,IR1_UNTREATED,780 ± 612.6,1355 ± 799.2,1160 ± 151.2,1136 ± 267.2,1401 ± 70.3,1186 ± 131.5
ASV074,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,NA,unknown Aerococcus (Genus) ASV074,0.083,FALSE,IR1_UNTREATED,23 ± 15.2,24 ± 51.5,9 ± 9.3,2 ± 1,10 ± 8.8,11 ± 4.6
ASV099,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,NA,NA,unknown Christensenellaceae (Family) ASV099,0.088,FALSE,IR1_UNTREATED,12 ± 6.6,4 ± 2.2,9 ± 5.2,6 ± 3.5,2 ± 4.3,13 ± 10.9
ASV136,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-010,NA,unknown Lachnospiraceae UCG-010 (Genus) ASV136,0.089,FALSE,IR1_UNTREATED,13 ± 14.8,26 ± 15.5,34 ± 6.7,16 ± 5.1,11 ± 7.2,10 ± 4.6
ASV346,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV346,0.095,FALSE,IR1_UNTREATED,24 ± 23.9,101 ± 60.6,51 ± 22,58 ± 7.4,72 ± 26.4,79 ± 45
ASV138,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tuzzerella,NA,unknown Tuzzerella (Genus) ASV138,0.113,FALSE,IR1_UNTREATED,138 ± 49.3,110 ± 90.9,119 ± 32.8,72 ± 17.2,43 ± 38.5,63 ± 26.5
ASV137,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-010,NA,unknown Lachnospiraceae UCG-010 (Genus) ASV137,0.12,FALSE,IR1_UNTREATED,1 ± 2.4,3 ± 3.7,7 ± 1.9,4 ± 2.9,1 ± 1.5,3 ± 3.4
ASV398,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV398,0.138,FALSE,IR1_UNTREATED,22 ± 25.4,6 ± 4.3,16 ± 5.8,12 ± 3.9,10 ± 10.8,24 ± 31.7
ASV174,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospira,NA,unknown Oscillospira (Genus) ASV174,0.152,FALSE,IR1_UNTREATED,6 ± 3.4,2 ± 2.4,2 ± 1.7,2 ± 1.3,2 ± 1.3,2 ± 2.6
ASV079,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,unknown Lactobacillus (Genus) ASV079,0.189,FALSE,IR1_UNTREATED,1 ± 3.5,10 ± 21.2,12 ± 22.4,27 ± 8.7,6 ± 17.7,11 ± 14
ASV171,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA,unknown Colidextribacter (Genus) ASV171,0.199,FALSE,IR1_UNTREATED,24 ± 13.1,14 ± 18,13 ± 4.4,25 ± 2.1,24 ± 7.5,22 ± 5.9
ASV076,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,unknown Lactobacillus (Genus) ASV076,0.231,FALSE,IR1_UNTREATED,0 ± 1,4 ± 3.2,2 ± 1.3,2 ± 1.7,2 ± 1.7,0 ± 1.7
ASV316,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA,unknown Blautia (Genus) ASV316,0.24,FALSE,IR1_UNTREATED,60 ± 24.8,52 ± 17.8,39 ± 21,20 ± 11.3,37 ± 6.7,37 ± 19.5
ASV235,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV235,0.28,FALSE,IR1_UNTREATED,12 ± 3,7 ± 6.6,5 ± 6.5,12 ± 2.8,12 ± 4.5,9 ± 3.4
ASV081,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,unknown Lactobacillus (Genus) ASV081,0.288,FALSE,IR1_UNTREATED,2 ± 0.6,7 ± 6.2,6 ± 5.5,13 ± 6.1,2 ± 18.1,2 ± 6.6
ASV157,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,unknown Intestinimonas (Genus) ASV157,0.295,FALSE,IR1_UNTREATED,16 ± 18.2,20 ± 10.8,18 ± 6.2,12 ± 5.2,8 ± 6.5,12 ± 8.6
ASV211,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV211,0.297,FALSE,IR1_UNTREATED,1 ± 4.2,4 ± 6.9,3 ± 1,4 ± 2.6,2 ± 2.6,5 ± 1.1
ASV175,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,valericigenes,Oscillibacter valericigenes ASV175,0.301,FALSE,IR1_UNTREATED,11 ± 13.2,31 ± 28.4,36 ± 8,25 ± 4.8,14 ± 17.3,16 ± 13.1
ASV335,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV335,0.35,FALSE,IR1_UNTREATED,6 ± 3.1,7 ± 6,6 ± 4.3,2 ± 0.5,5 ± 2.8,8 ± 3.1
ASV165,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,capillosus,Pseudoflavonifractor capillosus ASV165,0.439,FALSE,IR1_UNTREATED,14 ± 10.8,11 ± 17.6,7 ± 4.2,2 ± 2.9,10 ± 7.1,12 ± 17.4
ASV196,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA,NA,unknown [Eubacterium] coprostanoligenes group (Family) ASV196,0.44,FALSE,IR1_UNTREATED,6 ± 3.1,8 ± 4.4,11 ± 6.7,13 ± 8.2,5 ± 4.1,9 ± 6.4
ASV363,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV363,0.454,FALSE,IR1_UNTREATED,8 ± 4.7,2 ± 1.5,2 ± 1.5,2 ± 1.6,2 ± 2.2,1 ± 1.3
ASV382,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV382,0.493,FALSE,IR1_UNTREATED,70 ± 20.1,120 ± 89.5,90 ± 18.2,78 ± 25.3,90 ± 15.2,66 ± 10
ASV252,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,NA,unknown Ruminococcus (Genus) ASV252,0.506,FALSE,IR1_UNTREATED,4 ± 1,2 ± 2.5,2 ± 4.1,5 ± 1.3,2 ± 2.6,2 ± 3.6
ASV336,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV336,0.56,FALSE,IR1_UNTREATED,3 ± 3.3,4 ± 4.7,2 ± 0.8,3 ± 1.9,5 ± 4.3,6 ± 4.3
ASV167,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,timonensis,Intestinimonas timonensis ASV167,0.567,FALSE,IR1_UNTREATED,5 ± 4.2,2 ± 7.2,7 ± 2.9,3 ± 2.6,3 ± 6.4,2 ± 2.1
ASV188,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA,unknown Monoglobus (Genus) ASV188,0.618,FALSE,IR1_UNTREATED,10 ± 2.1,8 ± 6.5,7 ± 2.9,8 ± 5.1,11 ± 4.5,10 ± 4.5
